Name,Glasanteil_Süd_[%],Glasanteil_WestOst_[%],Glasanteil_Nord_[%],Produktwahl_Verglasung,Produktwahl_Verschattung,Dämmstärke_[m],VolSpez_Wärmekap_[kJ/m3K],Klimaszenario,,Anteil_Unzufrieden_[%],Tageslichtfaktor_[%],Kühlenergie_[kWh/Jahr],Heizenergie_[kWh/Jahr],Energie_Kunstlicht_[kWh/Jahr],Primärenergie_Total_{kWh/Jahr],Betriebskosten_[EUR/Jahr],Investitionskosten_[EUR]
r6n10011,74.64,93.6,3.567,U=0.6 g=23% ,none,0.1017,387.8,2060 Warm,r6n10011,7.468,5.805,151362.6,121111.1,13330.1,408394,62994.5,1351873.9
r6n10012,0.9754,8.228,1.506,U=0.7 g=42%,screen,0.1252,242.3,2000,r6n10012,7.357,0.3523,39696.5,92873.7,50343,373301.3,59062.7,762789.2
r6n10013,38.82,43.12,26.37,U=0.3 g=20%,none,0.1396,2024.2,2060 Warm,r6n10013,7.077,2.177,92478.9,75280.6,21003.5,330859.5,52932.4,988784.6
r6n10014,65.37,74.7,69.92,U=0.3 g=20%,screen,0.1752,2594.9,2060,r6n10014,7.164,4.448,112512.8,75131.7,15845.9,333298.8,53381,1161681.1
r6n10015,20.57,14.9,71.96,U=0.3 g=20%,roller,0.1902,2793.9,2060,r6n10015,7.088,0.8751,54147.3,63656.4,31418,312288.8,50576.1,849279.1
r6n10016,40.93,78.67,36.02,U=0.3 g=20%,screen,0.1406,1624.1,2060 Warm,r6n10016,7.215,4.217,126638.4,79220,15867.7,346924.5,55478.8,1176349.3
r6n10017,69.05,43.37,12.66,U=1.1 g=34%,roller,0.1999,1207,2060,r6n10017,7.31,4.201,94019.9,114196,14278.3,367142,56189.4,1072672.2
r6n10018,99.92,11.72,35.27,U=0.7 g=42%,roller,0.1841,2026.3,2060 Warm,r6n10018,6.949,2.249,114302.5,63281.1,18733.8,325197.1,52916.4,956133.3
r6n10019,75.81,10.69,23.76,U=0.6 g=18%,roller,0.1119,625.6,2060 Warm,r6n10019,7.238,0.5512,72003.2,96811.6,38081,375633.5,59153,875780.8
r6n10020,28.96,20.23,60.78,U=0.6 g=23% ,roller,0.1173,1577.9,2000,r6n10020,7.442,1.327,43168,111793,25008.3,352908.9,53843,861030.5
